window_start,window_end,VaR_95,ES_95,Max_Drawdown,Sector_Contributions
2010-06-28,2012-07-04,0.03569350814731102,0.03903632901470854,-0.9999398826505431,"{'Consumer': -0.0016258397027845103, 'Energy': -0.0037169191196241027, 'Finance': -0.006144776079725473, 'IT': -0.004265406571854357, 'Pharma': -0.0033131838567779905}"
2010-07-27,2012-08-02,0.0357259264494178,0.039073275321183994,-0.9999420225527716,"{'Consumer': -0.0016420346653841773, 'Energy': -0.0037300502949598534, 'Finance': -0.006185462240261928, 'IT': -0.004290726627307102, 'Pharma': -0.0033096506194617973}"
2010-08-25,2012-09-04,0.035663783655709144,0.039030538131467056,-0.9999406428428953,"{'Consumer': -0.0016200894760158037, 'Energy': -0.003767186785913981, 'Finance': -0.006218921173540406, 'IT': -0.004258552210397078, 'Pharma': -0.0032652990204996156}"
2010-09-24,2012-10-05,0.03553196761062824,0.03891593981089481,-0.9999392630886418,"{'Consumer': -0.0015996517287789186, 'Energy': -0.0037430488536592146, 'Finance': -0.006248534042233359, 'IT': -0.004217823457916379, 'Pharma': -0.0032427674563056848}"
2010-10-25,2012-11-07,0.03534099379835037,0.038649865129696634,-0.9999344917849726,"{'Consumer': -0.0015562107351569294, 'Energy': -0.003736720280368771, 'Finance': -0.006243188274427527, 'IT': -0.004135362744537194, 'Pharma': -0.003237438088554131}"
2010-11-25,2012-12-11,0.03476531003731549,0.03813479046068388,-0.9999181658707113,"{'Consumer': -0.001459888015807197, 'Energy': -0.0036582259068374695, 'Finance': -0.006106186630454085, 'IT': -0.004027286155557116, 'Pharma': -0.003266371558697115}"
2010-12-27,2013-01-10,0.034434687236417176,0.03759277113516966,-0.9999059603281638,"{'Consumer': -0.001441294471693667, 'Energy': -0.0035861475517578968, 'Finance': -0.005917478779637948, 'IT': -0.004065279249192875, 'Pharma': -0.003207743170065497}"
2011-01-25,2013-02-08,0.033897831255252774,0.03689641701415496,-0.9998890268909681,"{'Consumer': -0.0013953930901070054, 'Energy': -0.003617174018912857, 'Finance': -0.005748712927060666, 'IT': -0.003971209392985137, 'Pharma': -0.003182082092244008}"
2011-02-24,2013-03-11,0.03249817298944332,0.03612238831600443,-0.9998431917731713,"{'Consumer': -0.0012724969980292622, 'Energy': -0.0035687380045817912, 'Finance': -0.005626689523930736, 'IT': -0.003761338563412883, 'Pharma': -0.003059389226218103}"
2011-03-28,2013-04-11,0.03152017554232566,0.03486092453792832,-0.9998096682426215,"{'Consumer': -0.0012326951123408133, 'Energy': -0.0034668947189271443, 'Finance': -0.005614271881603507, 'IT': -0.0037111061875499747, 'Pharma': -0.002822184800865975}"
2011-04-29,2013-05-15,0.03145925912486035,0.034811841976410525,-0.9997925348736367,"{'Consumer': -0.0012412105530756083, 'Energy': -0.0034686245984398715, 'Finance': -0.005622943454868843, 'IT': -0.0035252298230832152, 'Pharma': -0.0028208405280044572}"
2011-05-30,2013-06-13,0.0313141914031271,0.03462835457108759,-0.9997919328748426,"{'Consumer': -0.0012791223700904808, 'Energy': -0.0035463350505728543, 'Finance': -0.005571605335276922, 'IT': -0.003421170350561946, 'Pharma': -0.002833572639646017}"
2011-06-28,2013-07-12,0.03145520579790328,0.0349068253480476,-0.9998030928488865,"{'Consumer': -0.001288105665273801, 'Energy': -0.003735173581498435, 'Finance': -0.005654807675751029, 'IT': -0.0033261515524164466, 'Pharma': -0.0027755526028472137}"
2011-07-27,2013-08-13,0.032234204931066976,0.0356014205051903,-0.9998212078843525,"{'Consumer': -0.0013336960559329964, 'Energy': -0.003928578336249633, 'Finance': -0.00578677490145269, 'IT': -0.0031069353037274277, 'Pharma': -0.0028168797152503602}"
2011-08-26,2013-09-13,0.03374544599339943,0.03756320544535187,-0.9998480758897514,"{'Consumer': -0.001677665019823662, 'Energy': -0.004254542466434903, 'Finance': -0.006123856480808284, 'IT': -0.0024196517183906396, 'Pharma': -0.0028220820016640843}"
2011-09-28,2013-10-15,0.0030718749870024256,0.0012501598463235113,-0.012990508993460506,"{'Consumer': 0.002066035987082338, 'Energy': 0.004227071325838694, 'Finance': 0.006415013727305021, 'IT': 0.002384506035352333, 'Pharma': 0.0032471870110745535}"
2011-11-01,2013-11-18,0.002721734745651583,0.0016517864954420174,-0.013745443058558827,"{'Consumer': 0.0019893389091804737, 'Energy': 0.004358500502302446, 'Finance': 0.006364335848149105, 'IT': 0.0020017816447614194, 'Pharma': 0.003136872514103058}"
2011-12-02,2013-12-17,0.003402521668185469,0.0016264125519139926,-0.014275903573353137,"{'Consumer': 0.002051657179857875, 'Energy': 0.004342979340140853, 'Finance': 0.00639756199746592, 'IT': 0.0018852653785138998, 'Pharma': 0.003087239814196318}"
2012-01-03,2014-01-16,0.0031182659808410814,0.0019155993856964561,-0.015190055368465842,"{'Consumer': 0.0020448633722384207, 'Energy': 0.004186294020657162, 'Finance': 0.006260480245642337, 'IT': 0.0018524642865065221, 'Pharma': 0.003121675564430157}"
2012-02-02,2014-02-14,0.0026660773376661687,0.0023025461911787047,-0.01570362967050416,"{'Consumer': 0.002087228856793392, 'Energy': 0.004093129799411528, 'Finance': 0.005960222349666805, 'IT': 0.0018008051699330732, 'Pharma': 0.003003272567085148}"
2012-03-05,2014-03-19,0.002979905767368952,0.00232059521935339,-0.016247666347252856,"{'Consumer': 0.0020827068513724544, 'Energy': 0.004147728582713538, 'Finance': 0.005968385288055881, 'IT': 0.0016069787101668583, 'Pharma': 0.002873030688996928}"
2012-04-04,2014-04-22,0.0028205418837164683,0.00242999240417447,-0.017264574051326007,"{'Consumer': 0.0020198216518514775, 'Energy': 0.0041714818634783326, 'Finance': 0.005890933403066379, 'IT': 0.0013796243252432792, 'Pharma': 0.002762023744393958}"
2012-05-08,2014-05-22,0.002691619819791629,0.0026047144762341716,-0.017934343326530794,"{'Consumer': 0.001845177670635182, 'Energy': 0.00454075054172746, 'Finance': 0.006077213265498147, 'IT': 0.001075044763950959, 'Pharma': 0.0024696733032687707}"
2012-06-06,2014-06-20,0.003037254607675621,0.0024876979469786744,-0.01835449819350835,"{'Consumer': 0.0019007326224348806, 'Energy': 0.004795160065111302, 'Finance': 0.006021150205049724, 'IT': 0.0009045333172776619, 'Pharma': 0.002345530240368764}"
2012-07-05,2014-07-21,0.0028433548032334517,0.0027919955768223688,-0.018748195171514197,"{'Consumer': 0.0017960772744520118, 'Energy': 0.004945632341210143, 'Finance': 0.005891054326835859, 'IT': 0.000778027651767704, 'Pharma': 0.002304320546281499}"
2012-08-03,2014-08-21,0.0026739215220728625,0.0029100836477577857,-0.018677776735703575,"{'Consumer': 0.0018256399839104175, 'Energy': 0.005027409283872139, 'Finance': 0.005903002482936284, 'IT': 0.0007535213833888638, 'Pharma': 0.002293346112028027}"
2012-09-05,2014-09-22,0.0028352901861250905,0.003076798443005166,-0.01836599625003412,"{'Consumer': 0.001836027811975005, 'Energy': 0.005134614999855769, 'Finance': 0.005895711179625594, 'IT': 0.000777323425406892, 'Pharma': 0.0023620660180104975}"
2012-10-08,2014-10-28,0.0016021659551886446,0.003281350557773524,-0.01844436444178104,"{'Consumer': 0.0018599759577174293, 'Energy': 0.005232666680753363, 'Finance': 0.005781943882661214, 'IT': 0.0006035745675865723, 'Pharma': 0.0024128246689055894}"
2012-11-08,2014-11-28,0.0014285405472949646,0.0033484441166444527,-0.018654493623247517,"{'Consumer': 0.0018856236420530183, 'Energy': 0.0052993329554928475, 'Finance': 0.005820023180192875, 'IT': 0.000616739740045965, 'Pharma': 0.002365013599106415}"
2012-12-12,2014-12-30,0.001530213152685627,0.003190708515462766,-0.018145312439422245,"{'Consumer': 0.0019771457195574336, 'Energy': 0.005310321113310386, 'Finance': 0.0057655982913542, 'IT': 0.0006912209904780642, 'Pharma': 0.002393641961872511}"
2013-01-11,2015-01-29,0.0017220373794759217,0.003321341508522936,-0.01755194396632983,"{'Consumer': 0.002048728539524915, 'Energy': 0.005353037736495966, 'Finance': 0.005881988307404444, 'IT': 0.0007850302319723337, 'Pharma': 0.0024901094682630506}"
